id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
249143473,3233628661722,"Được giới thiệu vào tháng 03/2023, Samsung Galaxy A34 5G 128GB là một lựa chọn đáng chú ý trong thị trường điện thoại Android tầm trung. Với kết nối 5G tiên tiến và hiệu suất đáng tin cậy, sản phẩm hứ...",5990000,8490000,,2500000,29,7,,available,,1000,1000,,18802,Samsung
270714226,1318020597988," *Thông số kỹ thuật:- Bộ nhớ mở rộng: RAM 8GB(4GB+4GB) ROM: 128GB- Màn hình: IPS LCD 6,6"" ,Độ phân giải HD+- Tần số quét: 90Hz- Dung lượng p...",2290000,2590000,,300000,12,9,,available,,1000,1000,,111684,Itel
197907038,5012695209637,"Thông tin sản phẩm Vtel E10 4GMàn hình: 1.77 inchBăng tần 2G, 3G: GSM850/900/1800/1900Băng tần 4G: B1(2100),B3(1800),B5(850),B8(900)Bộ nhớ: 48MB + 128MBDanh bạ: 2.000 sốPin: 1,000 mAhFM: Loa ng...",339000,339000,,0,0,27,,available,,1000,1000,,573293,Vtel
247730281,2852175427722,...,8690000,10490000,,1800000,17,22,,available,,1000,1000,,18802,Samsung
247731336,7656285866781,...,9290000,11490000,,2200000,19,20,,available,,1000,1000,,18802,Samsung
258667842,2465642183734,"Hãng Xiaomi đã tiếp tục cho ra mắt mẫu điện thoại mới của mình trong năm 2023 với tên gọi Xiaomi Redmi Note 12 Pro 4G (8GB/256GB) được định hình là dòng sản phẩm thuộc phân khúc tầm trung, sở hữu nhiề...",6750000,7990000,,1240000,16,5,,available,,1000,1000,,25422,Xiaomi
140309479,9797451771083,"Điện thoại Masstel Hapi 15 2GB/16GB*Màu Sắc Black, Blue, Gold*Màn hình5.45″ HD- IPS (1132*540 px)*Hỗ Trợ 2 SIM 2 sóng, PIN: 2200mAh*Hệ Điều Hành Android 11 Go Edition*Camera Sau 5MP (Flash)*Came...",799000,1299000,,500000,38,15,,available,,1000,1000,,112638,Masstel
209872337,9544010779799,    ...,2720000,3100000,,380000,12,9,,available,,1000,1000,,147856,Kindle
259542697,3484252155506,"Xiaomi Redmi Note 12S sẽ là chiếc điện thoại tiếp theo được nhà Xiaomi tung ra thị trường Việt Nam trong tháng 05/2023. Điện thoại sở hữu một lối thiết kế hiện đại, màn hình hiển thị chi tiết đi cùng...",4690000,6690000,,2000000,30,12,,available,,1000,1000,,25422,Xiaomi
270814316,2270219015003,"*Thông số kỹ thuậtNền tảng chip 6nm Helio G99 ; Điểm Antutu +380.000Màn hình làm 6,78 FHD+120HzBộ nhớ vượt trội 128/256 + 8GBLàm mát Vapor Champer, âm thanh nổi kép YangĐộng cơ tuyến tính trục ...",4690000,5290000,,600000,11,6,,available,,1000,1000,,162007,Tecno
257682739,7610430156171,"Điện thoại sở hữu tấm nền IPS LCD, độ phân giải HD+ cùng kích thước 6.5 inch mang đến không gian giải trí thoải mái, phù hợp với các nhu cầu giải trí của đại đa số người dùng.Cũng như các Điện thoại...",2150000,2990000,,840000,28,5,,available,,1000,1000,,18802,Samsung
179547641,3301286969393,"Chất liệu không thấm nước và màu sắc thời thượngMáy đọc sách Kindle Paperwhite 5 khoác lên mình một màu đen sang trọng, tinh tế với chất liệu không thấm nước khá bền bỉ. Ngoài ra, Kindle Paperwhite 5...",3410000,4990000,,1580000,32,105,,available,,1000,1000,,147856,Kindle
260986508,9187096744367,"Nhỏ gọn. Thân thiện. Tiện ích.Máy đọc sách 6"" nhỏ gọn nhấtNhờ cấu trúc bên trong được tối ưu hóa, Poke5 tự hào có tỷ lệ màn hình so với thân máy tuyệt vời mà không máy đọc sách nào có thể so sánh đ...",4720000,5990000,,1270000,21,4,,available,,1000,1000,,183637,Onyx Boox
262845685,8424405965157,"Mô tả sản phẩm Fonrox F2160Pin dung lượng lớn 1150 mAhÂm thanh nổi 3DSim kép, chế độ chờ képThông tin cơ bảnNhãn hiệu/mẫu: Fonrox F2160Khe Cắm Thẻ Sim: Hai Sim, hai chế độ chờLoại thẻ Sim: 1 thẻ tiê...",259000,299000,,40000,13,4,,available,,1000,1000,,111461,OEM
225266084,2273051977830,"Samsung Galaxy Tab S7 FE WiFi - được Samsung cho ra mắt với vô vàn tính năng cùng nhiều ưu điểm nổi bật hơn so với các đối thủ trong tầm giá, tablet hỗ trợ bút S Pen nhằm phục vụ các công việc của bạn...",6690000,12990000,,6300000,48,10,,available,,1000,1000,,18802,Samsung
209927605,2345506770936, ...,2689000,3100000,,411000,13,22,,available,,1000,1000,,147856,Kindle
200995800,4540673361107,"Thông số kỹ thuậtMàn hình6.5 inch, IPS LCD, HD, 720 x 1600 PixelsCamera sau8.0 MPCamera Selfie5.0 MPRAM2 GBBộ nhớ trong32 GBCPUUnisoc SC9863A1Dung lượng pin500...",1690000,2490000,,800000,32,12,,available,,1000,1000,,247549,Realme
264051117,2790855183962,"-Với tính năng thay đổi giọng nói: giọng nói của bạn có thể được thay đổi khi gọi. -Với một loa chất lượng tốt, bạn có thể nhận được giọng nói rất rõ ngay cả ở những khu vực đông đúc và ồn ào.-Thiết k...",62000,88000,,26000,30,7,,available,,1000,1000,,8181541,SOTHING Xiangwu
103168071,2540897708799,"Chính hãng, Nguyên seal, Mới 100%Đã kích hoạt bảo hành điện tử 6060, nguyên seal chưa khuiMiễn phí giao hàng toàn quốcSIM Nano-SIM, hỗ trợ 4GLoại Màn hình cảm ứng IPS LCDKích thước: 8.7 incheĐộ phân g...",4490000,4490000,,0,0,45,,available,,1000,1000,,18802,Samsung
215902961,5857202564064,"Thông số kỹ thuật: Màn hình: IPS LCD, 6.08"", Full HD+ Hệ điều hành: Android 10Camera sau: Chính 8 MP & Phụ 8 MP, 2 MP Camera trước: 8 MP CPU: MTK6739 Quad core RAM: 3GB Bộ nhớ trong: 32 GB...",1099000,1699000,,600000,35,20,,available,,1000,1000,,111684,Itel
272273680,7151197509141,...,3790000,3990000,,200000,5,0,,available,,1000,1000,,18802,Samsung
173387789,3214054442334,"Độ phân giải màn hình cực caoMáy đọc sách All New Kindle Oasis 3 với màn hình 7 inch và mật độ ảnh 300 ppi, văn bản hiển thị trên thiết bị với chất lượng sắc nét, đọc như giấy thật ngay cả trong ánh ...",5680000,5680000,,0,0,11,,available,,1000,1000,,147856,Kindle
125590981,4728167558517,"Giải trí hoàn hảo với màn hình siêu rộng 6.82” chuẩn HD+ mang đến trải nghiệm giải trí sắc nét và thưởng thức nội dung trọn vẹn.Pin bền bỉ dài ngày, Pin trâu bền bỉ 6000 mAh cho thời gian làm việc và ...",1550000,1550000,,0,0,32,,available,,1000,1000,,19673,Nokia
214603586,2474301171408,"Đắm mình vào trải nghiệm giải tríGiải trí bất tận mỗi ngày, thoải mái thưởng thức nhiều nội dung hơn với màn hình tràn viền vô cực Infinity-V 6,5inch trên Galaxy A04e. Tận hưởng nội dung hiển thị rõ ...",2099000,2690000,,591000,22,8,,available,,1000,1000,,18802,Samsung
230155305,1901131422256,"Cấu hình Điện thoại Xiaomi Redmi Note 10 JE Màn hình: IPS LCD 6.5"" Full HD+Hệ điều hành: Android 11Camera sau: Chính 48 MP & Phụ 2 MP, 2 MPCamera trước: 8 MPChip: Snapdragon 480 5GRAM: 4 GB...",2499000,3990000,,1491000,37,23,,available,,1000,1000,,25422,Xiaomi
270683809,4469205749301,...,20990000,29990000,,9000000,30,2,,available,,1000,1000,,18802,Samsung
